QueryId System Rank Precision Recall
2 TfIdf 85 0.03 1
2 TfIdf 86 0.03 1
2 TfIdf 87 0.03 1
2 TfIdf 88 0.03 1
2 TfIdf 89 0.03 1
2 TfIdf 90 0.03 1
2 TfIdf 91 0.03 1
2 TfIdf 92 0.03 1
2 TfIdf 93 0.03 1
2 TfIdf 94 0.03 1
2 TfIdf 95 0.03 1
2 TfIdf 96 0.03 1
2 TfIdf 97 0.03 1
2 TfIdf 98 0.03 1
2 TfIdf 99 0.03 1
2 TfIdf 100 0.03 1
2 TfIdf 101 0.02 1
3 TfIdf 1 0 0
3 TfIdf 2 0 0
3 TfIdf 3 0 0
3 TfIdf 4 0 0
3 TfIdf 5 0 0
3 TfIdf 6 0 0
3 TfIdf 7 0 0
3 TfIdf 8 0 0
3 TfIdf 9 0 0
3 TfIdf 10 0 0
3 TfIdf 11 0 0
3 TfIdf 12 0 0
3 TfIdf 13 0 0
3 TfIdf 14 0 0
3 TfIdf 15 0 0
3 TfIdf 16 0 0
3 TfIdf 17 0 0
3 TfIdf 18 0 0
3 TfIdf 19 0 0
3 TfIdf 20 0 0
3 TfIdf 21 0 0
3 TfIdf 22 0 0
3 TfIdf 23 0 0
3 TfIdf 24 0 0
3 TfIdf 25 0 0
3 TfIdf 26 0 0
3 TfIdf 27 0.03 0.16
3 TfIdf 28 0.03 0.16
3 TfIdf 29 0.03 0.16
3 TfIdf 30 0.03 0.16
3 TfIdf 31 0.03 0.16
3 TfIdf 32 0.03 0.16
3 TfIdf 33 0.03 0.16
3 TfIdf 34 0.02 0.16
3 TfIdf 35 0.02 0.16
3 TfIdf 36 0.05 0.33
3 TfIdf 37 0.05 0.33
3 TfIdf 38 0.05 0.33
3 TfIdf 39 0.05 0.33
3 TfIdf 40 0.05 0.33
3 TfIdf 41 0.04 0.33
3 TfIdf 42 0.04 0.33
3 TfIdf 43 0.04 0.33
3 TfIdf 44 0.04 0.33
3 TfIdf 45 0.04 0.33
3 TfIdf 46 0.04 0.33
3 TfIdf 47 0.04 0.33
3 TfIdf 48 0.04 0.33
3 TfIdf 49 0.04 0.33
3 TfIdf 50 0.04 0.33
3 TfIdf 51 0.03 0.33
3 TfIdf 52 0.03 0.33
3 TfIdf 53 0.03 0.33
3 TfIdf 54 0.03 0.33
3 TfIdf 55 0.03 0.33
3 TfIdf 56 0.03 0.33
3 TfIdf 57 0.03 0.33
3 TfIdf 58 0.03 0.33
3 TfIdf 59 0.03 0.33
3 TfIdf 60 0.03 0.33
3 TfIdf 61 0.03 0.33
3 TfIdf 62 0.03 0.33
3 TfIdf 63 0.03 0.33
3 TfIdf 64 0.03 0.33
3 TfIdf 65 0.03 0.33
3 TfIdf 66 0.03 0.33
3 TfIdf 67 0.02 0.33
3 TfIdf 68 0.02 0.33
3 TfIdf 69 0.02 0.33
3 TfIdf 70 0.02 0.33
3 TfIdf 71 0.02 0.33
3 TfIdf 72 0.02 0.33
3 TfIdf 73 0.02 0.33
3 TfIdf 74 0.02 0.33
3 TfIdf 75 0.02 0.33
3 TfIdf 76 0.02 0.33
3 TfIdf 77 0.02 0.33
3 TfIdf 78 0.02 0.33
3 TfIdf 79 0.02 0.33
3 TfIdf 80 0.02 0.33
3 TfIdf 81 0.02 0.33
3 TfIdf 82 0.02 0.33
3 TfIdf 83 0.02 0.33
3 TfIdf 84 0.02 0.33
3 TfIdf 85 0.02 0.33
3 TfIdf 86 0.02 0.33
3 TfIdf 87 0.02 0.33
3 TfIdf 88 0.02 0.33
3 TfIdf 89 0.02 0.33
3 TfIdf 90 0.02 0.33
3 TfIdf 91 0.02 0.33
3 TfIdf 92 0.02 0.33
3 TfIdf 93 0.02 0.33
3 TfIdf 94 0.02 0.33
3 TfIdf 95 0.02 0.33
3 TfIdf 96 0.02 0.33
3 TfIdf 97 0.02 0.33
3 TfIdf 98 0.02 0.33
3 TfIdf 99 0.02 0.33
3 TfIdf 100 0.02 0.33
3 TfIdf 101 0.01 0.33
4 TfIdf 1 0 0
4 TfIdf 2 0 0
4 TfIdf 3 0 0
4 TfIdf 4 0 0
4 TfIdf 5 0 0
4 TfIdf 6 0.16 0.08
4 TfIdf 7 0.14 0.08
4 TfIdf 8 0.12 0.08
4 TfIdf 9 0.22 0.16
4 TfIdf 10 0.2 0.16
4 TfIdf 11 0.18 0.16
4 TfIdf 12 0.16 0.16
4 TfIdf 13 0.15 0.16
4 TfIdf 14 0.14 0.16
4 TfIdf 15 0.13 0.16
4 TfIdf 16 0.12 0.16
